Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-05-01,Theft and Related Offences,Northland,451,259
2019-05-01,Theft and Related Offences,Southern,427,295
2019-05-01,Theft and Related Offences,Tasman,269,183
2019-05-01,Theft and Related Offences,Waikato,954,506
2019-05-01,Theft and Related Offences,Waitemata,1138,550
2019-05-01,Theft and Related Offences,Wellington,1322,642
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,607,81
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,427,90
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,758,87
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,533,96
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,678,101
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,370,59
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,289,48
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,257,57
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,142,40
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,554,78
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,457,74
2019-05-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,509,94
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,2,2
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,2,2
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,3,3
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,4,4
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,4,4
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,1,1
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,1,1
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,2,2
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,3,3
2019-06-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,3,3
2019-06-01,Acts Intended to Cause Injury,Auckland City,285,238
2019-06-01,Acts Intended to Cause Injury,Bay Of Plenty,487,396
2019-06-01,Acts Intended to Cause Injury,Canterbury,369,278
2019-06-01,Acts Intended to Cause Injury,Central,445,380
2019-06-01,Acts Intended to Cause Injury,Counties/Manukau,628,541
2019-06-01,Acts Intended to Cause Injury,Eastern,282,219
2019-06-01,Acts Intended to Cause Injury,Northland,144,131
2019-06-01,Acts Intended to Cause Injury,Southern,203,173
2019-06-01,Acts Intended to Cause Injury,Tasman,142,127
2019-06-01,Acts Intended to Cause Injury,Waikato,405,348
2019-06-01,Acts Intended to Cause Injury,Waitemata,257,222
2019-06-01,Acts Intended to Cause Injury,Wellington,477,425
2019-06-01,"Robbery, Extortion and Related Offences",Auckland City,52,49
